DEBUG - heuristics @ 14:49:52.395: EnqueueNodeEvent((id=906495565,d=2,props={place order}|{☐},state=PlaceState{presetChildrenMask={2, 3, 4, 5, 6}, postsetChildrenMask={1, 2, 3, 4, 5, 6}}))
DEBUG - heuristics @ 14:49:52.396: H((id=-1955320210,d=2,props={send invoice}|{☐},state=PlaceState{presetChildrenMask={3, 4, 5, 6}, postsetChildrenMask={1, 2, 3, 4, 5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.396: EnqueueNodeEvent((id=-1955320210,d=2,props={send invoice}|{☐},state=PlaceState{presetChildrenMask={3, 4, 5, 6}, postsetChildrenMask={1, 2, 3, 4, 5, 6}}))
DEBUG - heuristics @ 14:49:52.396: H((id=-1013192723,d=2,props={send reminder}|{☐},state=PlaceState{presetChildrenMask={4, 5, 6}, postsetChildrenMask={1, 2, 3, 4, 5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.396: EnqueueNodeEvent((id=-1013192723,d=2,props={send reminder}|{☐},state=PlaceState{presetChildrenMask={4, 5, 6}, postsetChildrenMask={1, 2, 3, 4, 5, 6}}))
DEBUG - heuristics @ 14:49:52.396: H((id=1963002823,d=2,props={cancel order}|{☐},state=PlaceState{presetChildrenMask={5, 6}, postsetChildrenMask={1, 2, 3, 4, 5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.396: EnqueueNodeEvent((id=1963002823,d=2,props={cancel order}|{☐},state=PlaceState{presetChildrenMask={5, 6}, postsetChildrenMask={1, 2, 3, 4, 5, 6}}))
DEBUG - heuristics @ 14:49:52.396: H((id=-668036262,d=2,props={pay}|{☐},state=PlaceState{presetChildrenMask={6}, postsetChildrenMask={1, 2, 3, 4, 5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.396: EnqueueNodeEvent((id=-668036262,d=2,props={pay}|{☐},state=PlaceState{presetChildrenMask={6}, postsetChildrenMask={1, 2, 3, 4, 5, 6}}))
DEBUG - heuristics @ 14:49:52.396: H((id=403997343,d=2,props={make delivery}|{☐},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={1, 2, 3, 4, 5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.396: EnqueueNodeEvent((id=403997343,d=2,props={make delivery}|{☐},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={1, 2, 3, 4, 5, 6}}))
DEBUG - heuristics @ 14:49:52.396: DequeueNodeEvent((id=-45729907,d=1,props={}|{☐},state=PlaceState{presetChildrenMask={0, 1, 2, 3, 4, 5, 6}, postsetChildrenMask={}}))
DEBUG - heuristics @ 14:49:52.396: H((id=906459186,d=2,props={▷}|{pay},state=PlaceState{presetChildrenMask={1, 2, 3, 4, 5, 6}, postsetChildrenMask={3, 4, 5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.396: EnqueueNodeEvent((id=906459186,d=2,props={▷}|{pay},state=PlaceState{presetChildrenMask={1, 2, 3, 4, 5, 6}, postsetChildrenMask={3, 4, 5, 6}}))
DEBUG - heuristics @ 14:49:52.396: H((id=1253655090,d=2,props={place order}|{pay},state=PlaceState{presetChildrenMask={2, 3, 4, 5, 6}, postsetChildrenMask={3, 4, 5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.396: EnqueueNodeEvent((id=1253655090,d=2,props={place order}|{pay},state=PlaceState{presetChildrenMask={2, 3, 4, 5, 6}, postsetChildrenMask={3, 4, 5, 6}}))
DEBUG - heuristics @ 14:49:52.396: H((id=-534840871,d=2,props={send invoice}|{pay},state=PlaceState{presetChildrenMask={3, 4, 5, 6}, postsetChildrenMask={3, 4, 5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.396: EnqueueNodeEvent((id=-534840871,d=2,props={send invoice}|{pay},state=PlaceState{presetChildrenMask={3, 4, 5, 6}, postsetChildrenMask={3, 4, 5, 6}}))
DEBUG - heuristics @ 14:49:52.396: H((id=-708341533,d=2,props={send reminder}|{pay},state=PlaceState{presetChildrenMask={4, 5, 6}, postsetChildrenMask={3, 4, 5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.396: EnqueueNodeEvent((id=-708341533,d=2,props={send reminder}|{pay},state=PlaceState{presetChildrenMask={4, 5, 6}, postsetChildrenMask={3, 4, 5, 6}}))
DEBUG - heuristics @ 14:49:52.396: H((id=-1494698126,d=2,props={cancel order}|{pay},state=PlaceState{presetChildrenMask={5, 6}, postsetChildrenMask={3, 4, 5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.396: EnqueueNodeEvent((id=-1494698126,d=2,props={cancel order}|{pay},state=PlaceState{presetChildrenMask={5, 6}, postsetChildrenMask={3, 4, 5, 6}}))
DEBUG - heuristics @ 14:49:52.396: H((id=-921795189,d=2,props={pay}|{pay},state=PlaceState{presetChildrenMask={6}, postsetChildrenMask={3, 4, 5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.396: EnqueueNodeEvent((id=-921795189,d=2,props={pay}|{pay},state=PlaceState{presetChildrenMask={6}, postsetChildrenMask={3, 4, 5, 6}}))
DEBUG - heuristics @ 14:49:52.396: H((id=-469068854,d=2,props={make delivery}|{pay},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={3, 4, 5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.396: EnqueueNodeEvent((id=-469068854,d=2,props={make delivery}|{pay},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={3, 4, 5, 6}}))
DEBUG - heuristics @ 14:49:52.396: DequeueNodeEvent((id=227247123,d=1,props={}|{pay},state=PlaceState{presetChildrenMask={0, 1, 2, 3, 4, 5, 6}, postsetChildrenMask={}}))
DEBUG - heuristics @ 14:49:52.396: H((id=-142416401,d=2,props={▷}|{cancel order},state=PlaceState{presetChildrenMask={1, 2, 3, 4, 5, 6}, postsetChildrenMask={4, 5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.396: EnqueueNodeEvent((id=-142416401,d=2,props={▷}|{cancel order},state=PlaceState{presetChildrenMask={1, 2, 3, 4, 5, 6}, postsetChildrenMask={4, 5, 6}}))
DEBUG - heuristics @ 14:49:52.396: H((id=-1508505070,d=2,props={place order}|{cancel order},state=PlaceState{presetChildrenMask={2, 3, 4, 5, 6}, postsetChildrenMask={4, 5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.396: EnqueueNodeEvent((id=-1508505070,d=2,props={place order}|{cancel order},state=PlaceState{presetChildrenMask={2, 3, 4, 5, 6}, postsetChildrenMask={4, 5, 6}}))
DEBUG - heuristics @ 14:49:52.396: H((id=158485675,d=2,props={send invoice}|{cancel order},state=PlaceState{presetChildrenMask={3, 4, 5, 6}, postsetChildrenMask={4, 5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.396: EnqueueNodeEvent((id=158485675,d=2,props={send invoice}|{cancel order},state=PlaceState{presetChildrenMask={3, 4, 5, 6}, postsetChildrenMask={4, 5, 6}}))
DEBUG - heuristics @ 14:49:52.396: H((id=-463724311,d=2,props={send reminder}|{cancel order},state=PlaceState{presetChildrenMask={4, 5, 6}, postsetChildrenMask={4, 5, 6}})) = 2.0
