"time","candidate","score"
"2022-08-10T16:05:18.249","(d=2, props={cancel order}|{pay}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={5, 6}, potentialFuturePostsetExpansions={3, 4, 5, 6}})","2.0"
"2022-08-10T16:05:18.249","(d=2, props={pay}|{pay}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={6}, potentialFuturePostsetExpansions={3, 4, 5, 6}})","2.0"
"2022-08-10T16:05:18.249","(d=2, props={make delivery}|{pay}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={3, 4, 5, 6}})","2.0"
"2022-08-10T16:05:18.249","(d=2, props={▷}|{cancel order}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={1, 2, 3, 4, 5, 6}, potentialFuturePostsetExpansions={4, 5, 6}})","2.0"
"2022-08-10T16:05:18.249","(d=2, props={place order}|{cancel order}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={2, 3, 4, 5, 6}, potentialFuturePostsetExpansions={4, 5, 6}})","2.0"
"2022-08-10T16:05:18.249","(d=2, props={send invoice}|{cancel order}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={3, 4, 5, 6}, potentialFuturePostsetExpansions={4, 5, 6}})","2.0"
"2022-08-10T16:05:18.249","(d=2, props={send reminder}|{cancel order}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={4, 5, 6}, potentialFuturePostsetExpansions={4, 5, 6}})","2.0"
"2022-08-10T16:05:18.249","(d=2, props={cancel order}|{cancel order}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={5, 6}, potentialFuturePostsetExpansions={4, 5, 6}})","2.0"
"2022-08-10T16:05:18.249","(d=2, props={pay}|{cancel order}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={6}, potentialFuturePostsetExpansions={4, 5, 6}})","2.0"
"2022-08-10T16:05:18.249","(d=2, props={make delivery}|{cancel order}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={4, 5, 6}})","2.0"
